Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BA,BA,BA,BA,BA,BA
Date,,,,,,
2024-09-24 00:00:00+00:00,155.80999755859375,155.80999755859375,155.89999389648438,153.69000244140625,155.8000030517578,7414900
2024-09-25 00:00:00+00:00,152.22000122070312,152.22000122070312,157.22000122070312,152.0399932861328,156.4199981689453,9587700
2024-09-26 00:00:00+00:00,154.5800018310547,154.5800018310547,157.3300018310547,152.66000366210938,153.94000244140625,11414400
2024-09-27 00:00:00+00:00,156.32000732421875,156.32000732421875,157.3300018310547,154.38999938964844,155.3699951171875,7637000
2024-09-30 00:00:00+00:00,152.0399932861328,152.0399932861328,155.3000030517578,151.24000549316406,154.7899932861328,10902200
2024-10-01 00:00:00+00:00,154.22000122070312,154.22000122070312,156.39999389648438,149.49000549316406,151.4600067138672,12588800
2024-10-02 00:00:00+00:00,152.88999938964844,152.88999938964844,154.85000610351562,152.83999633789062,153.75999450683594,4357000
2024-10-03 00:00:00+00:00,150.52000427246094,150.52000427246094,152.74000549316406,150.50999450683594,152.1199951171875,5704800
2024-10-04 00:00:00+00:00,155.0,155.0,155.0,150.85000610351562,152.25999450683594,6657500
2024-10-07 00:00:00+00:00,155.91000366210938,155.91000366210938,158.75999450683594,154.67999267578125,155.0,6267900
2024-10-08 00:00:00+00:00,154.64999389648438,154.64999389648438,156.6999969482422,154.13999938964844,155.99000549316406,5336300
2024-10-09 00:00:00+00:00,149.3699951171875,149.3699951171875,152.19000244140625,148.8000030517578,152.0500030517578,12488500
2024-10-10 00:00:00+00:00,146.6199951171875,146.6199951171875,149.11000061035156,146.25999450683594,149.07000732421875,11275800
2024-10-11 00:00:00+00:00,151.02000427246094,151.02000427246094,151.1199951171875,146.3000030517578,146.3000030517578,10688600
2024-10-14 00:00:00+00:00,148.99000549316406,148.99000549316406,150.08999633789062,146.02000427246094,148.0,9737000
2024-10-15 00:00:00+00:00,152.35000610351562,152.35000610351562,153.9499969482422,148.5500030517578,150.5,11241700
2024-10-16 00:00:00+00:00,154.89999389648438,154.89999389648438,154.99000549316406,151.33999633789062,151.91000366210938,8356200
2024-10-17 00:00:00+00:00,155.30999755859375,155.30999755859375,157.13999938964844,154.25,155.0,6291800
2024-10-18 00:00:00+00:00,155.0,155.0,156.3699951171875,153.89999389648438,155.83999633789062,6030200
2024-10-21 00:00:00+00:00,159.82000732421875,159.82000732421875,163.44000244140625,158.36000061035156,160.25,13277600
2024-10-22 00:00:00+00:00,159.8800048828125,159.8800048828125,160.66000366210938,158.3699951171875,160.5,7380800
2024-10-23 00:00:00+00:00,157.05999755859375,157.05999755859375,161.47000122070312,153.52999877929688,160.0,15931500
2024-10-24 00:00:00+00:00,155.1999969482422,155.1999969482422,155.88999938964844,151.97999572753906,152.61000061035156,9774400
2024-10-25 00:00:00+00:00,155.00999450683594,155.00999450683594,157.47999572753906,154.52000427246094,156.1999969482422,8153000
2024-10-28 00:00:00+00:00,150.69000244140625,150.69000244140625,155.1999969482422,150.61000061035156,153.5,20992500
2024-10-29 00:00:00+00:00,152.97999572753906,152.97999572753906,155.99000549316406,147.5800018310547,147.86000061035156,66387700
2024-10-30 00:00:00+00:00,154.2899932861328,154.2899932861328,156.91000366210938,152.50999450683594,152.50999450683594,50738400
2024-10-31 00:00:00+00:00,149.30999755859375,149.30999755859375,154.47999572753906,147.8800048828125,154.30999755859375,29388200
2024-11-01 00:00:00+00:00,154.58999633789062,154.58999633789062,156.0,151.22999572753906,152.77999877929688,18894500
2024-11-04 00:00:00+00:00,155.07000732421875,155.07000732421875,156.72000122070312,152.4600067138672,154.6199951171875,10290400
2024-11-05 00:00:00+00:00,151.0,151.0,157.66000366210938,150.64999389648438,157.47000122070312,23126600
2024-11-06 00:00:00+00:00,147.16000366210938,147.16000366210938,153.1999969482422,144.1300048828125,152.3000030517578,28069300
2024-11-07 00:00:00+00:00,150.97999572753906,150.97999572753906,152.8000030517578,148.02999877929688,148.8000030517578,14709200
2024-11-08 00:00:00+00:00,151.67999267578125,151.67999267578125,152.60000610351562,149.42999267578125,151.1199951171875,12996800
2024-11-11 00:00:00+00:00,148.9600067138672,148.9600067138672,152.5,148.07000732421875,152.0,12799100
2024-11-12 00:00:00+00:00,145.1699981689453,145.1699981689453,148.5,143.85000610351562,148.39999389648438,16746700
2024-11-13 00:00:00+00:00,139.97000122070312,139.97000122070312,145.5800018310547,139.10000610351562,145.5800018310547,21249600
2024-11-14 00:00:00+00:00,138.13999938964844,138.13999938964844,141.5500030517578,137.22000122070312,140.8000030517578,15646700
2024-11-15 00:00:00+00:00,140.19000244140625,140.19000244140625,140.32000732421875,137.02999877929688,138.13999938964844,12120100
2024-11-18 00:00:00+00:00,143.8699951171875,143.8699951171875,144.69000244140625,138.1999969482422,140.25999450683594,12259900
2024-11-19 00:00:00+00:00,145.60000610351562,145.60000610351562,145.99000549316406,142.69000244140625,143.0,8247300
2024-11-20 00:00:00+00:00,146.0800018310547,146.0800018310547,147.3000030517578,145.02000427246094,146.0399932861328,9232100
2024-11-21 00:00:00+00:00,143.41000366210938,143.41000366210938,146.4199981689453,141.33999633789062,146.38999938964844,7805700
