,date,breadth,stocks_above_ma,valid_stocks
0,2024-03-18,84.58417849898579,417,493
1,2024-03-19,85.80121703853956,423,493
2,2024-03-20,86.61257606490872,427,493
3,2024-03-21,88.03245436105477,434,493
4,2024-03-22,86.00405679513185,424,493
5,2024-03-25,84.58417849898579,417,493
6,2024-03-26,84.58417849898579,417,493
7,2024-03-27,89.65517241379311,442,493
8,2024-03-28,90.26369168356997,445,493
9,2024-03-29,90.26369168356997,445,493
10,2024-04-01,89.24949290060852,440,493
11,2024-04-02,86.61257606490872,427,493
12,2024-04-03,85.80121703853956,423,493
13,2024-04-04,83.97565922920892,414,493
14,2024-04-05,84.0080971659919,415,494
15,2024-04-08,85.22267206477733,421,494
16,2024-04-09,87.4493927125506,432,494
17,2024-04-10,79.55465587044534,393,494
18,2024-04-11,79.35222672064778,392,494
19,2024-04-12,75.10121457489879,371,494
20,2024-04-15,72.2672064777328,357,494
21,2024-04-16,67.20647773279353,332,494
22,2024-04-17,68.0161943319838,336,494
23,2024-04-18,67.4089068825911,333,494
24,2024-04-19,68.0161943319838,336,494
25,2024-04-22,70.8502024291498,350,494
26,2024-04-23,74.49392712550608,368,494
27,2024-04-24,73.88663967611336,365,494
28,2024-04-25,72.46963562753037,358,494
29,2024-04-26,71.05263157894737,351,494
30,2024-04-29,73.07692307692307,361,494
31,2024-04-30,66.19433198380567,327,494
32,2024-05-01,65.18218623481782,322,494
33,2024-05-02,65.18218623481782,322,494
34,2024-05-03,69.4331983805668,343,494
35,2024-05-06,71.25506072874494,352,494
36,2024-05-07,73.07692307692307,361,494
37,2024-05-08,70.24291497975709,347,494
38,2024-05-09,73.88663967611336,365,494
39,2024-05-10,73.88663967611336,365,494
40,2024-05-13,74.49392712550608,368,494
41,2024-05-14,74.08906882591093,366,494
42,2024-05-15,76.11336032388664,376,494
43,2024-05-16,75.91093117408907,375,494
44,2024-05-17,74.89878542510121,370,494
45,2024-05-20,73.07692307692307,361,494
46,2024-05-21,70.64777327935222,349,494
47,2024-05-22,70.64777327935222,349,494
48,2024-05-23,63.56275303643725,314,494
49,2024-05-24,65.9919028340081,326,494
50,2024-05-27,65.9919028340081,326,494
51,2024-05-28,60.72874493927125,300,494
52,2024-05-29,55.87044534412956,276,494
53,2024-05-30,57.28744939271255,283,494
54,2024-05-31,62.955465587044536,311,494
55,2024-06-03,61.943319838056674,306,494
56,2024-06-04,61.1336032388664,302,494
57,2024-06-05,61.336032388663966,303,494
58,2024-06-06,60.526315789473685,299,494
59,2024-06-07,59.51417004048582,294,494
60,2024-06-10,59.311740890688256,293,494
61,2024-06-11,55.465587044534416,274,494
62,2024-06-12,57.692307692307686,285,494
63,2024-06-13,56.477732793522264,279,494
64,2024-06-14,52.63157894736842,260,494
65,2024-06-17,55.465587044534416,274,494
66,2024-06-18,57.48987854251012,284,494
67,2024-06-19,57.48987854251012,284,494
68,2024-06-20,58.502024291497975,289,494
69,2024-06-21,59.91902834008097,296,494
70,2024-06-24,61.74089068825911,305,494
71,2024-06-25,58.097165991902834,287,494
72,2024-06-26,55.87044534412956,276,494
73,2024-06-27,56.477732793522264,279,494
74,2024-06-28,57.89473684210527,286,494
75,2024-07-01,54.453441295546554,269,494
76,2024-07-02,55.465587044534416,274,494
77,2024-07-03,55.26315789473685,273,494
78,2024-07-04,55.26315789473685,273,494
79,2024-07-05,54.655870445344135,270,494
80,2024-07-08,53.23886639676113,263,494
81,2024-07-09,52.63157894736842,260,494
82,2024-07-10,57.48987854251012,284,494
83,2024-07-11,63.96761133603239,316,494
84,2024-07-12,67.4089068825911,333,494
85,2024-07-15,66.80161943319838,330,494
86,2024-07-16,75.50607287449392,373,494
87,2024-07-17,74.08906882591093,366,494
88,2024-07-18,69.23076923076923,342,494
89,2024-07-19,66.39676113360325,328,494
90,2024-07-22,68.82591093117408,340,494
91,2024-07-23,65.9919028340081,326,494
92,2024-07-24,61.74089068825911,305,494
93,2024-07-25,62.145748987854255,307,494
94,2024-07-26,68.62348178137651,339,494
95,2024-07-29,68.62348178137651,339,494
96,2024-07-30,71.45748987854252,353,494
97,2024-07-31,74.49392712550608,368,494
98,2024-08-01,67.00404858299595,331,494
99,2024-08-02,57.692307692307686,285,494
100,2024-08-05,49.19028340080971,243,494
101,2024-08-06,53.23886639676113,263,494
102,2024-08-07,48.987854251012145,242,494
103,2024-08-08,58.2995951417004,288,494
104,2024-08-09,59.51417004048582,294,494
105,2024-08-12,56.68016194331984,280,494
106,2024-08-13,61.336032388663966,303,494
107,2024-08-14,61.74089068825911,305,494
108,2024-08-15,66.80161943319838,330,494
109,2024-08-16,67.81376518218623,335,494
110,2024-08-19,70.24291497975709,347,494
111,2024-08-20,69.02834008097166,341,494
112,2024-08-21,70.64777327935222,349,494
113,2024-08-22,69.63562753036437,344,494
114,2024-08-23,73.88663967611336,365,494
115,2024-08-26,73.88663967611336,365,494
116,2024-08-27,73.07692307692307,361,494
117,2024-08-28,73.07692307692307,361,494
118,2024-08-29,73.68421052631578,364,494
119,2024-08-30,74.89878542510121,370,494
